1479998284.000000, 1479998284.000000, 1479998284.000000.1
755,3.0,-73.0,-4.0
756,11.0,-65.0,2.0
757,7.0,-64.0,1.0
758,8.0,-63.0,-3.0
759,8.0,-63.0,-4.0
760,8.0,-64.0,-5.0
761,6.0,-61.0,-6.0
762,1.0,-63.0,-13.0
763,3.0,-61.0,-10.0
764,1.0,-64.0,-8.0
765,-3.0,-65.0,-9.0
766,-3.0,-66.0,-11.0
767,2.0,-68.0,-11.0
768,0.0,-70.0,-12.0
769,1.0,-81.0,-12.0
770,-6.0,-89.0,-3.0
771,-18.0,-97.0,3.0
772,-42.0,-85.0,-18.0
773,-44.0,-71.0,-37.0
774,11.0,-105.0,-28.0
775,39.0,-114.0,-9.0
776,67.0,-128.0,18.0
777,44.0,-128.0,10.0
778,5.0,-98.0,-11.0
779,-3.0,-24.0,-1.0
780,-19.0,-7.0,-14.0
781,-33.0,5.0,-3.0
782,-39.0,9.0,-12.0
783,-30.0,10.0,-18.0
784,1.0,0.0,-15.0
785,14.0,-7.0,-3.0
786,58.0,-40.0,40.0
787,104.0,-63.0,33.0
788,127.0,-128.0,23.0
789,-1.0,-104.0,89.0
790,48.0,-68.0,-34.0
791,-3.0,-72.0,-3.0
792,13.0,-66.0,-5.0
793,8.0,-65.0,2.0
794,11.0,-64.0,-3.0
795,5.0,-64.0,-3.0
796,7.0,-64.0,-7.0
797,4.0,-63.0,-8.0
798,1.0,-64.0,-9.0
799,1.0,-62.0,-8.0
800,-3.0,-62.0,-12.0
801,-4.0,-60.0,-14.0
802,-2.0,-64.0,-13.0
803,-3.0,-69.0,-7.0
804,0.0,-73.0,-10.0
805,-1.0,-83.0,-11.0
806,-10.0,-96.0,-3.0
807,-31.0,-108.0,-3.0
808,-53.0,-75.0,-37.0
809,-41.0,-67.0,-36.0
810,40.0,-114.0,-14.0
811,66.0,-121.0,1.0
812,66.0,-128.0,8.0
813,8.0,-100.0,-17.0
814,-3.0,-79.0,-7.0
815,-20.0,-9.0,-8.0
816,-35.0,2.0,-15.0
817,-25.0,6.0,-9.0
818,-35.0,14.0,-18.0
819,-13.0,7.0,-17.0
820,11.0,0.0,-10.0
821,19.0,-11.0,3.0
822,53.0,-49.0,31.0
823,81.0,-57.0,34.0
824,127.0,-128.0,8.0
825,-97.0,-78.0,-21.0
826,63.0,-56.0,-53.0
827,-3.0,-73.0,-1.0
828,14.0,-65.0,-4.0
829,4.0,-64.0,1.0
830,9.0,-64.0,-3.0
831,3.0,-63.0,-6.0
832,2.0,-64.0,-9.0
833,0.0,-62.0,-9.0
834,-3.0,-63.0,-9.0
835,-5.0,-62.0,-11.0
836,-8.0,-61.0,-13.0
837,-7.0,-62.0,-15.0
838,-5.0,-63.0,-13.0
839,-7.0,-65.0,-8.0
840,-4.0,-66.0,-7.0
841,4.0,-73.0,-6.0
842,-1.0,-86.0,-14.0
843,-21.0,-103.0,-6.0
844,-43.0,-105.0,-10.0
845,-54.0,-89.0,-26.0
846,-30.0,-72.0,-32.0
847,38.0,-117.0,-13.0
848,68.0,-117.0,4.0
849,52.0,-121.0,2.0
850,18.0,-99.0,-6.0
851,16.0,-70.0,-5.0
852,-3.0,-38.0,-6.0
853,-19.0,-5.0,-13.0
854,-26.0,4.0,-13.0
855,-33.0,10.0,-18.0
856,-20.0,2.0,-19.0
857,-2.0,-3.0,-15.0
858,21.0,-17.0,1.0
859,33.0,-31.0,17.0
860,67.0,-54.0,41.0
861,127.0,-128.0,127.0
862,-128.0,3.0,51.0
863,44.0,-53.0,2.0
864,4.0,-68.0,-7.0
865,7.0,-65.0,-1.0
866,7.0,-66.0,0.0
867,11.0,-63.0,-3.0
868,3.0,-63.0,-5.0
869,4.0,-63.0,-5.0
870,2.0,-63.0,-6.0
871,1.0,-62.0,-7.0
872,-1.0,-62.0,-10.0
873,-4.0,-61.0,-10.0
874,-2.0,-63.0,-10.0
875,-3.0,-64.0,-10.0
876,-1.0,-66.0,-4.0
877,0.0,-70.0,-3.0
878,-1.0,-73.0,-11.0
879,1.0,-78.0,-14.0
880,-19.0,-98.0,5.0
881,-28.0,-100.0,3.0
882,-41.0,-82.0,-27.0
883,-42.0,-66.0,-34.0
884,13.0,-98.0,-17.0
885,64.0,-115.0,0.0
886,50.0,-128.0,10.0
887,21.0,-117.0,-8.0
888,14.0,-102.0,-10.0
889,-3.0,-46.0,-1.0
890,-33.0,-6.0,-15.0
891,-38.0,2.0,-8.0
892,-39.0,11.0,-17.0
893,-34.0,13.0,-18.0
894,4.0,2.0,-20.0
895,25.0,-13.0,12.0
896,40.0,-32.0,30.0
897,89.0,-58.0,37.0
898,127.0,-128.0,50.0
899,-98.0,-70.0,23.0
900,34.0,-105.0,-41.0
901,11.0,-66.0,13.0
902,12.0,-63.0,4.0
903,11.0,-64.0,2.0
904,8.0,-62.0,-3.0
905,7.0,-63.0,-4.0
906,10.0,-65.0,-6.0
907,7.0,-64.0,-2.0
908,4.0,-64.0,-5.0
909,2.0,-64.0,-6.0
910,2.0,-64.0,-5.0
911,1.0,-64.0,-6.0
912,0.0,-65.0,-9.0
913,3.0,-65.0,-7.0
914,1.0,-74.0,-7.0
915,-1.0,-79.0,-7.0
916,-7.0,-91.0,-2.0
917,-10.0,-94.0,-1.0
918,-38.0,-89.0,-11.0
919,-33.0,-67.0,-31.0
920,8.0,-99.0,-23.0
921,50.0,-113.0,-6.0
922,68.0,-116.0,11.0
923,30.0,-119.0,4.0
924,16.0,-102.0,-9.0
925,4.0,-66.0,-5.0
926,-10.0,-18.0,-13.0
927,-20.0,-7.0,-12.0
928,-22.0,0.0,-11.0
929,-22.0,6.0,-18.0
930,-12.0,3.0,-17.0
931,15.0,-5.0,-11.0
932,24.0,-12.0,0.0
933,53.0,-44.0,37.0
934,75.0,-53.0,49.0
935,127.0,-128.0,90.0
936,-108.0,-85.0,82.0
937,66.0,-61.0,-7.0
938,2.0,-73.0,-9.0
939,11.0,-66.0,-1.0
940,8.0,-65.0,-2.0
941,8.0,-64.0,-6.0
942,4.0,-66.0,-8.0
943,7.0,-64.0,-3.0
944,3.0,-64.0,-7.0
945,1.0,-62.0,-6.0
946,-2.0,-61.0,-8.0
947,-5.0,-62.0,-13.0
948,-6.0,-62.0,-12.0
949,-6.0,-63.0,-12.0
950,-1.0,-66.0,-5.0
951,-5.0,-66.0,-4.0
952,4.0,-71.0,-7.0
953,2.0,-73.0,-9.0
954,-4.0,-89.0,-12.0
955,-33.0,-109.0,2.0
956,-41.0,-100.0,-13.0
957,-56.0,-67.0,-41.0
958,-17.0,-87.0,-37.0
959,63.0,-115.0,-6.0
960,72.0,-117.0,12.0
961,51.0,-114.0,9.0
962,0.0,-81.0,-9.0
963,-15.0,-28.0,-9.0
964,-17.0,-13.0,-11.0
965,-16.0,-7.0,-14.0
966,-24.0,0.0,-14.0
967,-19.0,6.0,-19.0
968,-11.0,5.0,-15.0
969,11.0,-6.0,-9.0
970,21.0,-16.0,-4.0
971,54.0,-45.0,32.0
972,127.0,-74.0,8.0
973,127.0,-128.0,54.0
974,-43.0,-120.0,-2.0
975,60.0,-55.0,-19.0
976,1.0,-77.0,2.0
977,10.0,-68.0,-6.0
978,10.0,-65.0,-1.0
979,7.0,-63.0,-3.0
980,7.0,-65.0,-4.0
981,4.0,-62.0,-6.0
982,3.0,-64.0,-7.0
983,-1.0,-62.0,-9.0
984,-4.0,-62.0,-10.0
985,-4.0,-62.0,-12.0
986,-4.0,-63.0,-9.0
987,-4.0,-64.0,-12.0
988,-3.0,-66.0,-4.0
989,-3.0,-66.0,-7.0
990,3.0,-68.0,-7.0
991,2.0,-74.0,-8.0
992,1.0,-83.0,-9.0
993,-21.0,-104.0,4.0
994,-32.0,-103.0,4.0
995,-49.0,-74.0,-31.0
996,2.0,-98.0,-26.0
997,18.0,-97.0,-8.0
998,61.0,-112.0,11.0
999,66.0,-125.0,20.0
1000,20.0,-98.0,-14.0
1001,5.0,-72.0,-3.0
1002,1.0,-34.0,-1.0
1003,-17.0,-8.0,-13.0
1004,-24.0,-6.0,-10.0
1005,-19.0,-2.0,-14.0
1006,-19.0,-1.0,-16.0
1007,-2.0,-5.0,-15.0
1008,16.0,-19.0,-6.0
1009,18.0,-26.0,3.0
1010,42.0,-49.0,25.0
1011,62.0,-62.0,32.0
1012,123.0,-92.0,24.0
1013,-76.0,-80.0,67.0
1014,1.0,-74.0,9.0
1015,26.0,-64.0,-9.0
1016,21.0,-60.0,22.0
1017,6.0,-68.0,-5.0
1018,12.0,-64.0,-1.0
1019,12.0,-64.0,-1.0
1020,12.0,-64.0,-5.0
1021,9.0,-63.0,-7.0
1022,7.0,-64.0,-8.0
1023,5.0,-63.0,-8.0
1024,0.0,-61.0,-12.0
1025,-1.0,-62.0,-10.0
1026,-1.0,-63.0,-12.0
1027,-4.0,-63.0,-14.0
1028,-1.0,-63.0,-13.0
1029,-3.0,-62.0,-8.0
1030,-2.0,-65.0,-6.0
1031,-1.0,-64.0,-7.0
1032,2.0,-67.0,-6.0
1033,4.0,-66.0,-7.0
1034,2.0,-77.0,-4.0
1035,2.0,-83.0,-8.0
1036,-6.0,-90.0,2.0
1037,-13.0,-91.0,-4.0
1038,-25.0,-80.0,-6.0
1039,-12.0,-73.0,-13.0
1040,19.0,-62.0,-24.0
1041,50.0,-72.0,0.0
1042,74.0,-80.0,7.0
1043,39.0,-83.0,-16.0
1044,6.0,-61.0,-9.0
1045,6.0,-64.0,-2.0
1046,-32.0,-35.0,0.0
1047,-29.0,-24.0,-8.0
1048,-22.0,-14.0,-10.0
1049,-19.0,-20.0,-7.0
1050,-19.0,-26.0,-14.0
1051,4.0,-47.0,-24.0
1052,7.0,-59.0,-15.0
1053,4.0,-85.0,3.0
1054,7.0,-101.0,25.0
1055,-79.0,-95.0,84.0
1056,-21.0,-92.0,65.0
1057,-24.0,-68.0,12.0
1058,22.0,-77.0,-23.0
1059,6.0,-57.0,-8.0
1060,-6.0,-69.0,-10.0
1061,4.0,-59.0,-16.0
1062,0.0,-62.0,-18.0
1063,-6.0,-63.0,-15.0
1064,1.0,-64.0,-13.0
1065,4.0,-63.0,-14.0
1066,1.0,-62.0,-13.0
1067,-1.0,-63.0,-12.0
1068,-5.0,-62.0,-21.0
